ID,Title,Trailer ID,SentimentScore
324,Bucky Larson: Born to Be a Star,cRT93a8xE5s,0.48
325,Contagion,4sYSyuuLk5g,0.48
326,Warrior,I5kzcwcQA1Q,0.8
327,Drive,KBiOF3y1W0Y,0.75
328,I Don't Know How She Does It,MJPKOS9DZeg,0.4343434343434343
329,Restless,pzUKbPAynxU,0.76
330,Straw Dogs,jc2WepwFcWE,0.54
331,Abduction,CEVkp5Je7m0,0.67
332,Dolphin Tale,AJ_1eS2Erhk,0.8
333,Killer Elite,8F1wrDsUqYc,0.74
334,Moneyball,-4QPVo0UIzc,0.74
335,50/50,GWPfFDAFvNk,0.6585365853658537
336,Courageous,70MVn1q-yyM,0.79
337,Dream House,XFxIYqcmRxc,0.71
338,Margaret,7YAiS-3EhMI,0.52
339,Take Shelter,hUraDx3oFVg,0.73
340,What's Your Number?,bgkxGrsX-A4,0.65
341,The Ides of March,y494hUO-aw8,0.4705882352941176
342,Real Steel,SwfmV3nn6QA,0.61
343,The Big Year,HJARwSNpUP4,0.75
344,Footloose,fVyU-Hvzpt4,0.4320987654320987
345,The Skin I Live In,PavJUoZNT7g,0.5416666666666666
346,The Thing,Txjm94GnrPA,0.6
347,Johnny English Reborn,wCsSzZU-sQ4,0.484375
348,Margin Call,IjZ-ke1kJrA,0.68
349,Paranormal Activity 3,e70TX_photI,0.3043478260869565
350,The Three Musketeers,TYic5JxgTMc,0.56
351,Martha Marcy May Marlene,ERREgOobLOs,0.64
352,Anonymous,uBmnkk0QW3Q,0.68
353,In Time,YRSBiTF3wNw,0.62
354,Like Crazy,qvf52Z5w_kI,0.6
355,October Baby,eljFzuBefoI,0.6
357,The Rum Diary,R8KblG1S0_A,0.34
358,Tower Heist,Z4KXF7NWFRE,0.82
359,A Very Harold & Kumar Christmas,dZpFjWOCHAM,0.51
360,Immortals,pE3yR8bZ1pY,0.62
361,J. Edgar,XULIO67YIRA,0.79
362,Jack and Jill,oJVv3PBoPMc,0.48
363,Melancholia,6IZGwvxhXvw,0.4307692307692308
364,The Descendants,XDwUH02DDWU,0.5824175824175825
366,The Twilight Saga: Breaking Dawn – Part 1,uKcFqL9-bHo,0.56
367,A Dangerous Method,ZhunuJRo8jA,0.4375
369,Hugo,Hv3obL9HqyY,0.8
371,My Week with Marilyn,u9wk0Aeddb0,0.559322033898305
372,The Artist,YB9Oq0hn5KY,0.71
373,Shame,Op9iQiB_ANI,0.73
374,Tinker Tailor Soldier Spy,VW-F1H-Nonk,0.82
375,Catch .44,GE2CV47Hc7c,0.44
376,New Year's Eve,h_dt27_0vL4,0.73
377,The Sitter,kTmF4UnkkbA,0.57
378,We Need to Talk About Kevin,SfQaRK3BCYU,0.51
379,Young Adult,rt2-M5hTkcs,0.4705882352941176
381,Carnage,Zvg_wK6smK4,0.6
382,Mission: Impossible – Ghost Protocol,7wkih9Yvxq0,0.4864864864864865
383,Sherlock Holmes: A Game of Shadows,AsKYSOzCTvY,1.0
384,The Adventures of Tintin,LTnCE_SaU38,0.65
385,The Girl with the Dragon Tattoo,DqQe3OrsMKI,0.86
386,In the Land of Blood and Honey,sq3shTC1zac,0.34
387,We Bought a Zoo,Fopeq7wx4sw,0.6349206349206349
388,The Darkest Hour,Nbns9vRejHg,0.3953488372093023
389,Extremely Loud & Incredibly Close,51z9UzDSacg,0.51
390,War Horse,JPNyNr2Kp4w,0.73
391,Pariah,rbBiTlGhrPY,0.5882352941176471
392,The Iron Lady,jX398kx-OCM,0.66
393,A Separation,58Onuy5USTc,0.85
394,The Devil Inside,MVpcszlYT7s,0.53
395,Beneath The Darkness,kKfoSIERxCU,0.5
396,Contraband,Rp0b5ZXIUvE,0.4111111111111111
397,Joyful Noise,e1Cj-_o2FGQ,0.6808510638297872
398,Haywire,OpffbDjWlog,0.65
399,Red Tails,BpA6TC0T_Lw,0.71
400,Underworld: Awakening,tUcrbUCWKQc,0.68
401,Coriolanus,bsYrGIQnmxo,0.81
402,The Flowers of War,cj2uhyfVNmQ,0.63
403,W.E.,ql8AtTM7blg,0.3783783783783784
404,The Grey,39eq9Nl_3io,1.0
406,One for the Money,rn1PpRgUaeU,0.64
408,Big Miracle,Qv-mWQUoXOg,0.71
409,Chronicle,UD0DshFbmxA,0.68
410,The Woman in Black,VnY0fEV30Wk,0.56
412,Safe House,O-E4rQMl9jE,0.7058823529411765
413,The Vow,PcL24s-S6ns,0.75
414,Ghost Rider: Spirit of Vengeance,UUObgxCoUgA,0.64
415,This Means War,oleuD8479uM,0.83
416,Act of Valor,ZnlPgo9TaGo,0.78
417,Good Deeds,HaO8f_eA4aM,0.78
418,Wanderlust,Oz7xMY1AbbI,0.74
420,Project X,HmrhuboNMtg,0.6
421,Tim and Eric's Billion Dollar Movie,zEeQi2PuV8M,0.4
422,John Carter,6Rf55GTEZ_E,0.86
423,Silent House,VD88EFBFuos,0.63
424,A Thousand Words,N6AxRCP3e4s,0.67
426,Salmon Fishing in the Yemen,LqzwMX3ftLI,0.5625
427,21 Jump Street,Oj55KinxZx4,0.56
428,"Jeff, Who Lives at Home",yA1w_eX0XsY,0.4814814814814814
429,The Hunger Games,mfmrPu43DF8,0.65
430,The Raid,m6Q7KnXpNOg,0.79
431,Mirror Mirror,ILDeA7AqA84,0.79
433,Goon,cr_7jC_v9xA,0.36
434,American Reunion,1akixU65dDY,0.65
435,Damsels in Distress,-UGIkWvfBEQ,0.6153846153846154
436,The Cabin in the Woods,NsIilFNNmkY,0.74
437,Lockout,BQ4hZqrIM9w,0.58
438,The Three Stooges,Z4IoUo_ZJkY,0.66
440,The Lucky One,9w8lE83oYeM,0.76
441,Think Like a Man,vxTN4eX4Vss,0.7
442,Darling Companion,TGzd3x_1m28,1.0
443,The 5-Year Engagement,IoRF_Bzuwtk,0.55
444,The Pirates! In an Adventure with Scientists!,RZN0aF02WvY,0.5
445,The Raven,XMG9HawX1do,0.5
446,Safe,gU-wjVD_58c,0.75
447,Sound of My Voice,U8xElfWyexo,0.6111111111111112
448,The Avengers,eOrNdBpGMv8,0.59
449,The Best Exotic Marigold Hotel,roDQowqG3cE,0.7021276595744681
450,Dark Shadows,N6tVdffCr_M,0.8
451,The Dictator,cYplvwBvGA4,0.66
452,Battleship,8NNQqHsIc-4,0.6
453,What to Expect When You're Expecting,_8Um0DEEjkM,0.5
454,Beyond the Black Rainbow,nWF0bBKhe6o,0.77
455,Crooked Arrows,3ArAWYKDONY,0.41
457,Polisse,rJ60lcoouvA,0.4166666666666667
458,Chernobyl Diaries,Uy1ay369Jiw,0.42
459,Men in Black 3,IyaFEBI_L24,0.67
460,Moonrise Kingdom,_eOI3AamSm8,0.82
461,Snow White and the Huntsman,F9cBVm9gtKU,0.8
462,Piranha 3DD,XvZ-DN6Sbxg,0.625
464,Prometheus,5UEv03g51kU,0.74
465,Safety Not Guaranteed,73jSnAs7mq8,0.88
467,That's My Boy,HZJKgniCvUI,0.5
468,Your Sister's Sister,1Na2I2b6edA,0.6666666666666666
469,Abraham Lincoln: Vampire Hunter,MmexgVvm4o8,0.67
471,Seeking a Friend for the End of the World,EmXWcXKXWBk,0.71
472,To Rome with Love,ft__aQSrHqE,0.73
473,Beasts of the Southern Wild,pvqZzSMIZa0,0.75
474,Madea's Witness Protection,PSBsZ0z6sWk,0.5
475,Magic Mike,gh78SbA1wEc,0.625
476,People Like Us,0OVGAOJ7N-c,0.69
477,Ted,9fbo_pQvU7M,0.58
478,A Burning Hot Summer,EcHetG5B7VY,0.5
479,Last Ride,F28_BYLOTKU,0.0
480,The Amazing Spider-Man,-tnxzJ0SSOw,0.72
481,Katy Perry: Part of Me,K16NvLCk2CY,0.86
482,Savages,jDZSt_MhU4Q,0.3548387096774194
484,"Farewell, My Queen",tOQfyExCVQk,0.63
485,The Dark Knight Rises,GokKUqLcvD8,0.71
486,Step Up Revolution,aEAt9eTi72w,0.79
487,The Watch,PhN1xnCyqR8,0.5641025641025641
488,Killer Joe,JYcUUXq6Kd8,0.52
490,Total Recall,GljhR5rk5eY,0.63
491,Celeste and Jesse Forever,aJYjR00zCMc,0.6153846153846154
492,Hope Springs,-s22_Mvikl8,0.87
493,The Bourne Legacy,jSzy9qQ3mDE,0.8
494,The Campaign,Bmp6UDzIUes,0.5211267605633803
495,The Odd Life of Timothy Green,mMSkbH0LuTc,0.6333333333333333
496,The Expendables 2,ip_CYHdyUBs,0.71
498,Sparkle,55cuiV9yL6Q,0.85
499,Cosmopolis,PvYyKTZtUG0,0.69
500,Robot & Frank,Hi9s-__B0TY,0.39
501,Hit and Run,6nZlXB5okeo,0.71
502,The Apparition,WYELiw9nvnE,0.3026315789473684
503,Premium Rush,Pn6ie1zCkZU,0.71
504,Lawless,HibcC7w5l1g,0.5357142857142857
506,The Possession,Sxo3Wib31uE,0.69
508,The Cold Light Of Day,qxJpe8d2dBQ,0.4558823529411764
509,The Words,pMKB1LqwSHI,0.68
510,Anna Karenina,Z-nyXX5zOLg,0.75
511,Raaz 3,iMNBj_DrBQU,0.67
512,Resident Evil: Retribution,hoyMT-7wEqs,0.64
513,Arbitrage,BTWRP85RdBY,1.0
514,The Master,-EGSWpBDbho,0.85
515,Stolen,rpMxOjUjweA,0.55
516,Dredd,G-eI5oLlIeY,0.63
517,End of Watch,9mQYxib26FM,0.67
518,House at the End of the Street,9SNvuq7bULo,0.6
519,Trouble with the Curve,fTHSqutzOcQ,0.84
520,The Perks of Being a Wallflower,2vb2qrcPEEs,0.5483870967741935
522,Looper,2iQuhsmtfHw,0.74
523,Won't Back Down,busgdBQE9M0,0.4
524,Frankenweenie,XBfcGLBJ2Uc,0.61
525,Pitch Perfect,8dItOM6eYXY,0.8
526,Taken 2,u48UrWtCn5E,0.49
527,The Oranges,Rk83dEZi29E,0.4897959183673469
528,The Paperboy,m2GMwWaDSr0,0.73
529,Argo,JW3WfSFgrVY,0.81
530,Here Comes the Boom,M4L6ruTF5qE,0.86
531,Seven Psychopaths,jsHR77oQKEY,0.81
532,Sinister,_kbQAJR9YWQ,0.58
533,Smashed,n1J1IKeqAoI,0.4545454545454545
534,Holy Motors,NWu9WjEcdbk,0.78
535,Alex Cross,tV_et8mrADI,0.49
536,Paranormal Activity 4,89PboIQlu1c,0.46
537,The Sessions,6T7vqxwuWEM,0.8
538,Chasing Mavericks,vkwCQH6IVhM,0.78
539,Cloud Atlas,ByehYal_cCs,0.81
540,Fun Size,8eFSDTBqvIU,0.5604395604395604
541,Silent Hill: Revelation,9b4iOhWswYM,0.46
542,Flight,Aqn2L6kQQt8,0.81
543,The Man with the Iron Fists,3swVdu41Ixg,0.4745762711864407
545,The Bay,ctkkn1qSYKw,0.63
546,This Must Be the Place,kplFGDHuYy4,0.4189189189189189
548,The Twilight Saga: Breaking Dawn – Part 2,Ocz50YJOFTM,0.76
549,Lincoln,KJVuqYkI2jQ,0.75
550,Silver Linings Playbook,kVS-6k2tQAA,0.81
551,Life of Pi,3mMN693-F3U,0.77
552,Red Dawn,36j7tagMjlY,0.5609756097560976
554,Hitchcock,_Uw6fweoB8E,0.7241379310344828
555,The Collection,n08aIH-Bhcc,0.68
556,Killing Them Softly,Bll2p2WhrIA,0.5263157894736842
557,Playing for Keeps,ez9U9bw4XwM,0.69
558,Deadfall,Q4IASREmPMY,0.5176470588235295
559,Lay the Favorite,Jr30OocHzVw,0.3636363636363636
560,The Hobbit: An Unexpected Journey,SDnYMbYB-nU,0.87
561,The Guilt Trip,UAwiiGUCeLE,0.6363636363636364
563,Cirque du Soleil: Worlds Away,3QrN3lMHxVg,0.9230769230769232
564,Jack Reacher,Q-oxhxD32MM,0.86
